省,城市,链接,行政区,小区,均价,地址,lng,lat,gclng,gclat,wgs84lng,wgs84lat,物业类型,权属类别,竣工时间,产权年限,户数,总建筑面积,容积率,绿化率,建筑类型,商圈,水电,停车位,物业费,停车费,车位管理费,物业公司,开发商
山西,太原,https://ty.anjuke.com/community/view/1313078,阳曲,柏井村自建房,1507,阳曲 - 阳曲城区 - 003乡道,112.711897,38.108132,112.705426,38.102052,112.698958,38.101484,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1916189,尖草坪,马坡村自建房,1550,尖草坪-南寨-京昆线,112.590175,37.994743,112.5837204,37.988636,112.577458,37.98817725,自建房,集体租赁住房和城中村,暂无,其它,暂无,暂无,暂无,暂无,低层,南寨,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1475966,晋源,北邵村自建房,1592,晋源 - 晋祠 - 307国道,112.416186,37.656376,112.409703,37.650388,112.40304,37.649529,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1298602,尖草坪,横渠村自建房,1614,尖草坪 - 上兰 - 新兰路,112.490354,38.011889,112.483797,38.006119,112.477237,38.005424,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1302262,尖草坪,新翟村自建房,1614,尖草坪 - 上兰 - 新兰路,112.480406,38.012006,112.473901,38.006081,112.467309,38.005359,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1179656,清徐,温馨苑小区(清徐),1650,清徐 - 清源镇 - 滨河西路,112.377918,37.561429,112.371321,37.555734,112.364702,37.554912,公寓住宅,小产权房,2000年竣工,70年,暂无,暂无,1.2,0.3,多层, 清源镇 ,民用,暂无,0.50元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1294440,尖草坪,圆梦家园小区,1650,尖草坪 - 光社 - 七府坟南街,112.568563,37.947002,112.562159,37.940661,112.555868,37.940162,公寓住宅,单位集体自建房,1998年竣工,70年,216户,暂无,1.2,0.2,多层, 光社 ,民用,暂无,1.00元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1377821,晋源,大元村自建房,1657,晋源 - 晋祠 - 307国道,112.398249,37.645106,112.391673,37.639387,112.385018,37.638535,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1306103,小店,北王名村自建房,1657,小店 - 小店周边 - 005乡道,112.651514,37.741982,112.644981,37.736068,112.638706,37.735544,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 小店周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1290841,杏花岭,窑头村自建房,1657,杏花岭 - 七府 - 窑丈线,112.64476,37.947663,112.638177,37.941852,112.631892,37.941369,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 七府 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1444631,小店,东蒲村自建房,1671,小店 - 通达街 - 汾东南路,112.536327,37.681098,112.529831,37.675103,112.523478,37.674496,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1465257,尖草坪,下薛村自建房,1678,尖草坪 - 上兰 - 新兰路,112.496392,38.011042,112.489812,38.005339,112.483274,38.004661,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1312283,晋源,固驿村自建房,1714,晋源 - 晋祠 - 晋白线,112.381935,37.648275,112.375343,37.642608,112.368707,37.641773,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/808376,尖草坪,朝凤锦苑,1740,尖草坪 - 上兰 - 康西公路,112.474834,38.041314,112.468349,38.035286,112.461735,38.034556,公寓住宅,小产权房,2013年竣工,70年,420户,暂无,2.03,0.35,多层|小高层, 上兰 ,民用,200(1:0.5),0.80元/平米/月,地面100.00元/月,地面100.00元/月,暂无,单位自建
山西,太原,https://ty.anjuke.com/community/view/808797,清徐,成子新村,1750,清徐 - 柳杜乡 - 235县道,112.319468,37.526092,112.313089,37.519783,112.306599,37.519071,暂无,集体租赁住房和城中村,1995年竣工,70年,暂无,暂无,暂无,0.2,多层|高层, 柳杜乡 ,暂无,暂无,暂无,暂无,暂无,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1193483,清徐,牛家寨小区,1750,清徐 - 清源镇 - 北夏线,112.315015,37.590711,112.30859,37.584427,112.302101,37.583713,公寓住宅,小产权房,2012年竣工,70年,270户,暂无,1.2,0.3,多层, 清源镇 ,民用,暂无,1.00元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1080430,清徐,恒祥晨谷花园,1750,清徐 - 东于镇 - 进喜路209号,112.277148,37.612502,112.27054,37.606784,112.264098,37.606112,公寓住宅,商品房住宅,1993年竣工,70年,521户,暂无,1.2,0.2,多层, 东于镇 ,民用,100(1:0.2),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1196751,古交,银河美苑,1750,古交 - 古交城区 - 兴业街,112.14195,37.917984,112.135347,37.912314,112.128642,37.911507,公寓住宅,商品房住宅,2017年竣工,70年,暂无,暂无,1.2,0.3,多层, 古交城区 ,民用,暂无,0.50元/平米/月,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1188627,古交,汾水苑,1750,古交 - 古交城区 - 河扫线,112.234692,37.934083,112.228195,37.928049,112.221695,37.927394,公寓住宅,商品房住宅,2005年竣工,70年,297户,暂无,2.5,0.3,高层, 古交城区 ,民用,100(1:0.3),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1302850,小店,三贤村自建房,1785,小店 - 通达街 - 小刘线,112.522576,37.649992,112.516019,37.644223,112.509621,37.643576,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1302263,晋源,东庄村自建房,1800,晋源 - 晋祠 - 新晋祠路,112.469075,37.699387,112.462606,37.693255,112.456016,37.692459,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1298603,晋源,北瓦窑村自建房,1800,晋源 - 晋源周边 - 005乡道,112.533751,37.717308,112.527216,37.71135,112.52085,37.710736,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 晋源周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1309200,晋源,南峪村自建房,1828,晋源 - 晋祠 - 西仁线,112.391158,37.667034,112.384564,37.661366,112.377914,37.66052,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1398156,晋源,西镇村自建房,1828,晋源 - 晋祠 - 晋阳大道,112.458809,37.732024,112.452387,37.72575,112.445767,37.724934,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋祠 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1292819,小店,流涧村自建房,1842,小店 - 通达街 - 流小线,112.568311,37.685052,112.561924,37.678716,112.555663,37.678185,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1368794,晋源,梁家寨村自建房,1842,晋源 - 晋源周边 - 梁家寨村南大街,112.532949,37.728297,112.526413,37.722354,112.520043,37.721739,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 晋源周边 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1367472,尖草坪,西村自建房,1842,尖草坪 - 上兰 - 新兰路,112.473709,38.011328,112.467244,38.005285,112.46063,38.004546,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 上兰 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1468664,清徐,幸福小区(孟封),1850,清徐 - 高花乡 - 幸福路,112.457272,37.510822,112.450872,37.504538,112.444275,37.503736,公寓住宅,单位集体自建房,2011年竣工,70年,暂无,暂无,2.6,0.316,多层, 高花乡 ,民用,暂无,0.5,地面150.00元/月,地面150.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1410525,清徐,车南安村自建房,1850,清徐 - 杨房乡 - 小康路,112.35884,37.515048,112.352335,37.509092,112.345759,37.508309,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 杨房乡 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1087552,古交,汾西苑,1850,"古交 - 古交城区 - 滨河南路,近长汾路",112.214527,37.926585,112.20813,37.920277,112.201595,37.919596,公寓住宅,商品房住宅,2016年竣工,70年,852户,暂无,1.2,0.3,多层, 古交城区 ,民用,100(1:0.1),0.50元/平米/月,地面300.00元/月,地面300.00元/月,业主自管,单位自建
山西,太原,https://ty.anjuke.com/community/view/1302851,阳曲,西黄水村自建房,1850,阳曲 - 阳曲城区 - 026乡道,112.648148,38.005122,112.641616,37.99927,112.635317,37.998794,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,1.2,暂无,多层, 阳曲城区 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
山西,太原,https://ty.anjuke.com/community/view/1366402,小店,杜家寨村自建房,1871,小店 - 通达街 - 中心路,112.555088,37.693733,112.548674,37.687451,112.542379,37.686893,暂无,集体租赁住房和城中村,暂无,70年,暂无,暂无,0.5,暂无,低层, 通达街 ,暂无,暂无,暂无,暂无,暂无,暂无,暂无
