,mean,std,min,max,VIF
ln_X1_房价,0.5824,0.0696,0.3876,0.9118,1.1835
ln_X2_人口,0.5261,0.5126,0.0017,2.5968,1.7715
ln_X3_房龄,3.1652,0.1509,2.5447,3.7043,1.6352
ln_X4_距离,2.0778,0.4308,0.2546,2.804,2.2196
ln_X5_交通,8.9958,1.2155,0.0,10.1255,1.175
Y_空间失配度,0.6899,0.2391,0.0,0.99,
